# Date: 2025-03-06 23:23:49 UTC
# FID: 14
# Biofluid: Wine (700 only)
# NMR Frequency: 700 MHz
# DSS Concentration: 909.09 µM
# Fast Profile: No
# Manually Phased: No
# Run Time: 9 minutes 56 seconds
# Job ID: 0d02d8cfa6ea3aea6f5af83a8ca4d3a96d73259c-15234
HMDB ID,Compound Name,Concentration (µM),Threshold (µM),Confidence Score
HMDB00034,Adenine,0.9,0.1,10
HMDB00042,Acetate,7262.0,0.1,10
HMDB00043,Betaine,9.5,0.1,10
HMDB00056,beta-Alanine,0.0,0.1,10
HMDB00060,Acetoacetate,9.4,0.1,10
HMDB00062,Carnitine,32.8,0.1,10
HMDB00094,Citric acid,0.0,0.1,10
HMDB00097,Choline,175.5,0.1,10
HMDB00098,Xylose,445.7,0.1,10
HMDB00108,Ethanol,971615.7,0.1,10
HMDB00112,4-Aminobutyrate,22.5,0.1,10
HMDB00122,Glucose,1489.5,0.1,10
HMDB00131,Glycerol,79146.8,0.1,10
HMDB00134,Fumarate,4.4,0.1,10
HMDB00142,Formate,30.9,0.1,10
HMDB00143,Galactose,317.3,0.1,10
HMDB00149,Ethanolamine,32.8,0.1,10
HMDB00156,Malate,355.7,0.1,10
HMDB00158,Tyrosine,0.0,0.1,10
HMDB00159,Phenylalanine,20.7,0.1,10
HMDB00161,Alanine,0.0,0.1,10
HMDB00162,L-Proline,1943.9,0.1,10
HMDB00168,Asparagine,0.0,0.1,10
HMDB00190,Lactic acid,8433.1,0.1,10
HMDB00191,Aspartate,59.0,0.1,10
HMDB00208,Oxoglutarate,89.0,0.1,10
HMDB00211,myo-Inositol,1077.9,0.1,10
HMDB00214,Ornithine,0.0,0.1,10
HMDB00243,Pyruvate,49.1,0.1,10
HMDB00254,Succinate,3825.4,0.1,10
HMDB00258,Sucrose,0.0,0.1,10
HMDB00267,Pyroglutamate,0.0,0.1,10
HMDB00300,Uracil,17.9,0.1,10
HMDB00606,2-Hydroxyglutaric acid,0.0,0.1,10
HMDB00646,Arabinose,756.3,0.1,10
HMDB00660,Fructose,4378.2,0.1,10
HMDB00671,Indole-3-lactate,9.6,0.1,10
HMDB00687,Leucine,0.0,0.1,10
HMDB00696,Methionine,21.2,0.1,10
HMDB00820,Propanol,0.1,0.1,10
HMDB00875,Trigonelline,73.5,0.1,10
HMDB00954,Ferulate,0.0,0.1,10
HMDB00956,Tartarate,2882.4,0.1,10
HMDB01659,Acetone,20.0,0.1,10
HMDB01871,Epicatechin,45.0,0.1,10
HMDB01875,Methanol,1500.8,0.1,10
HMDB01964,Caffeate,16.2,0.1,10
HMDB02085,Syringate,1.9,0.1,10
HMDB02322,Cadaverine,11.6,0.1,10
HMDB02545,Galacturonate,246.8,0.1,10
HMDB02780,Catechin,47.7,0.1,10
HMDB03070,Shikimate,164.8,0.1,10
HMDB03156,2_3-Butanediol,8618.8,0.1,10
HMDB03243,Acetoin,207.8,0.1,10
HMDB04284,Tyrosol,133.0,0.1,10
HMDB05807,Gallate,31.3,0.1,10
HMDB06006,Isobutanol,182.4,0.1,10
HMDB06007,Isoamylalcohol,1380.1,0.1,10
HMDB13680,Caftarate,106.5,0.1,10
HMDB31217,Ethyl acetate,253.5,0.1,10
HMDB31527,2-Methylbutanol,143.3,0.1,10
HMDB33944,Phenylethanol,483.6,0.1,10
HMDB40735,Ethyl lactate,586.7,0.1,10
HMDB80990,Acetaldehyde (bisulfite),42.9,0.1,10
HMDB99996,1_3-Propanediol,0.0,0.1,10
HMDB99997,Phasing compound,105.0,0.1,10
HMDB99998,Phasing compound,713.6,0.1,10
HMDB99999,DSS,554.0,0.1,10
