# Date: 2025-03-06 21:48:04 UTC
# FID: 7
# Biofluid: Wine (700 only)
# NMR Frequency: 700 MHz
# DSS Concentration: 909.09 µM
# Fast Profile: No
# Manually Phased: No
# Run Time: 9 minutes 57 seconds
# Job ID: c8de179ea4be366c51470a9d115fc0a6386a5821-15230
HMDB ID,Compound Name,Concentration (µM),Threshold (µM),Confidence Score
HMDB00034,Adenine,6.6,0.1,10
HMDB00042,Acetate,6275.1,0.1,10
HMDB00043,Betaine,38.2,0.1,10
HMDB00056,beta-Alanine,0.1,0.1,10
HMDB00060,Acetoacetate,66.6,0.1,10
HMDB00062,Carnitine,24.2,0.1,10
HMDB00094,Citric acid,1.7,0.1,10
HMDB00097,Choline,213.7,0.1,10
HMDB00098,Xylose,519.7,0.1,10
HMDB00108,Ethanol,1163558.4,0.1,10
HMDB00112,4-Aminobutyrate,73.6,0.1,10
HMDB00122,Glucose,2524.6,0.1,10
HMDB00131,Glycerol,69222.2,0.1,10
HMDB00134,Fumarate,2.8,0.1,10
HMDB00142,Formate,75.3,0.1,10
HMDB00143,Galactose,194.3,0.1,10
HMDB00149,Ethanolamine,37.7,0.1,10
HMDB00156,Malate,0.0,0.1,10
HMDB00158,Tyrosine,8.8,0.1,10
HMDB00159,Phenylalanine,20.6,0.1,10
HMDB00161,Alanine,0.0,0.1,10
HMDB00162,L-Proline,8505.5,0.1,10
HMDB00168,Asparagine,0.0,0.1,10
HMDB00190,Lactic acid,8624.5,0.1,10
HMDB00191,Aspartate,40.7,0.1,10
HMDB00208,Oxoglutarate,201.5,0.1,10
HMDB00211,myo-Inositol,1586.4,0.1,10
HMDB00214,Ornithine,0.0,0.1,10
HMDB00243,Pyruvate,0.8,0.1,10
HMDB00254,Succinate,6315.4,0.1,10
HMDB00258,Sucrose,0.0,0.1,10
HMDB00267,Pyroglutamate,79.7,0.1,10
HMDB00296,Uridine,11.9,0.1,10
HMDB00300,Uracil,3.3,0.1,10
HMDB00606,2-Hydroxyglutaric acid,217.9,0.1,10
HMDB00646,Arabinose,235.7,0.1,10
HMDB00660,Fructose,2343.0,0.1,10
HMDB00671,Indole-3-lactate,50.5,0.1,10
HMDB00687,Leucine,0.0,0.1,10
HMDB00696,Methionine,26.8,0.1,10
HMDB00820,Propanol,122.8,0.1,10
HMDB00875,Trigonelline,91.1,0.1,10
HMDB00954,Ferulate,0.0,0.1,10
HMDB00956,Tartarate,4685.4,0.1,10
HMDB00975,Trehalose,24.5,0.1,10
HMDB00990,Acetaldehyde,19.5,0.1,10
HMDB01659,Acetone,29.8,0.1,10
HMDB01871,Epicatechin,11.2,0.1,10
HMDB01875,Methanol,2754.4,0.1,10
HMDB01964,Caffeate,13.6,0.1,10
HMDB02085,Syringate,20.9,0.1,10
HMDB02322,Cadaverine,38.2,0.1,10
HMDB02545,Galacturonate,3076.0,0.1,10
HMDB02780,Catechin,13.8,0.1,10
HMDB03070,Shikimate,499.6,0.1,10
HMDB03156,2_3-Butanediol,4666.8,0.1,10
HMDB03243,Acetoin,101.2,0.1,10
HMDB04284,Tyrosol,202.0,0.1,10
HMDB05807,Gallate,228.7,0.1,10
HMDB06006,Isobutanol,910.8,0.1,10
HMDB06007,Isoamylalcohol,2568.8,0.1,10
HMDB13680,Caftarate,51.8,0.1,10
HMDB29581,Sorbate,17.0,0.1,10
HMDB31217,Ethyl acetate,316.6,0.1,10
HMDB31527,2-Methylbutanol,748.4,0.1,10
HMDB33944,Phenylethanol,540.8,0.1,10
HMDB40735,Ethyl lactate,1089.3,0.1,10
HMDB80990,Acetaldehyde (bisulfite),247.7,0.1,10
HMDB99996,1_3-Propanediol,2.1,0.1,10
HMDB99997,Phasing compound,98.9,0.1,10
HMDB99998,Phasing compound,689.7,0.1,10
HMDB99999,DSS,999.7,0.1,10
