# Date: 2025-03-06 01:08:29 UTC
# FID: 2
# Biofluid: Wine (700 only)
# NMR Frequency: 700 MHz
# DSS Concentration: 909.09 µM
# Fast Profile: No
# Manually Phased: No
# Run Time: 9 minutes 4 seconds
# Job ID: b56ccce28cf903aea7693397f91b1ffaca8779ce-15223
HMDB ID,Compound Name,Concentration (µM),Threshold (µM),Confidence Score
HMDB00034,Adenine,6.7,0.1,10
HMDB00042,Acetate,4988.9,0.1,10
HMDB00043,Betaine,47.9,0.1,10
HMDB00056,beta-Alanine,0.0,0.1,10
HMDB00060,Acetoacetate,37.9,0.1,10
HMDB00062,Carnitine,0.0,0.1,10
HMDB00097,Choline,164.0,0.1,10
HMDB00098,Xylose,989.6,0.1,10
HMDB00108,Ethanol,999823.5,0.1,10
HMDB00112,4-Aminobutyrate,61.7,0.1,10
HMDB00122,Glucose,2842.2,0.1,10
HMDB00131,Glycerol,83911.4,0.1,10
HMDB00134,Fumarate,3.9,0.1,10
HMDB00142,Formate,31.6,0.1,10
HMDB00143,Galactose,70.4,0.1,10
HMDB00149,Ethanolamine,31.6,0.1,10
HMDB00156,Malate,0.0,0.1,10
HMDB00158,Tyrosine,0.0,0.1,10
HMDB00159,Phenylalanine,18.3,0.1,10
HMDB00161,Alanine,0.0,0.1,10
HMDB00162,L-Proline,6185.1,0.1,10
HMDB00168,Asparagine,0.0,0.1,10
HMDB00190,Lactic acid,8742.9,0.1,10
HMDB00191,Aspartate,76.8,0.1,10
HMDB00208,Oxoglutarate,320.3,0.1,10
HMDB00211,myo-Inositol,1062.3,0.1,10
HMDB00214,Ornithine,0.0,0.1,10
HMDB00243,Pyruvate,0.0,0.1,10
HMDB00254,Succinate,5782.7,0.1,10
HMDB00258,Sucrose,0.0,0.1,10
HMDB00267,Pyroglutamate,0.0,0.1,10
HMDB00300,Uracil,30.1,0.1,10
HMDB00606,2-Hydroxyglutaric acid,0.0,0.1,10
HMDB00646,Arabinose,513.9,0.1,10
HMDB00660,Fructose,12465.9,0.1,10
HMDB00671,Indole-3-lactate,34.1,0.1,10
HMDB00687,Leucine,0.0,0.1,10
HMDB00696,Methionine,15.4,0.1,10
HMDB00820,Propanol,0.1,0.1,10
HMDB00875,Trigonelline,106.2,0.1,10
HMDB00956,Tartarate,4745.9,0.1,10
HMDB00975,Trehalose,21.2,0.1,10
HMDB01659,Acetone,19.1,0.1,10
HMDB01871,Epicatechin,25.7,0.1,10
HMDB01875,Methanol,3184.7,0.1,10
HMDB01964,Caffeate,17.8,0.1,10
HMDB02085,Syringate,10.9,0.1,10
HMDB02322,Cadaverine,32.0,0.1,10
HMDB02545,Galacturonate,5308.3,0.1,10
HMDB02780,Catechin,0.0,0.1,10
HMDB03070,Shikimate,0.0,0.1,10
HMDB03156,2_3-Butanediol,5728.7,0.1,10
HMDB03243,Acetoin,192.2,0.1,10
HMDB04284,Tyrosol,263.7,0.1,10
HMDB05807,Gallate,220.4,0.1,10
HMDB06006,Isobutanol,423.8,0.1,10
HMDB06007,Isoamylalcohol,1709.8,0.1,10
HMDB13680,Caftarate,129.6,0.1,10
HMDB29581,Sorbate,0.0,0.1,10
HMDB31217,Ethyl acetate,164.9,0.1,10
HMDB31527,2-Methylbutanol,397.2,0.1,10
HMDB33944,Phenylethanol,496.4,0.1,10
HMDB40735,Ethyl lactate,827.9,0.1,10
HMDB80990,Acetaldehyde (bisulfite),149.5,0.1,10
HMDB99996,1_3-Propanediol,0.2,0.1,10
HMDB99997,Phasing compound,94.1,0.1,10
HMDB99998,Phasing compound,726.8,0.1,10
HMDB99999,DSS,340.6,0.1,10
