# Date: 2025-03-06 21:14:22 UTC
# FID: 4
# Biofluid: Wine (700 only)
# NMR Frequency: 700 MHz
# DSS Concentration: 909.09 µM
# Fast Profile: No
# Manually Phased: No
# Run Time: 8 minutes 17 seconds
# Job ID: e338f762eae70f4c20d2638b92205467ef881262-15227
HMDB ID,Compound Name,Concentration (µM),Threshold (µM),Confidence Score
HMDB00034,Adenine,9.5,0.1,10
HMDB00042,Acetate,6996.8,0.1,10
HMDB00043,Betaine,27.6,0.1,10
HMDB00056,beta-Alanine,0.0,0.1,10
HMDB00060,Acetoacetate,22.8,0.1,10
HMDB00062,Carnitine,7.7,0.1,10
HMDB00097,Choline,270.8,0.1,10
HMDB00098,Xylose,450.0,0.1,10
HMDB00108,Ethanol,1031302.4,0.1,10
HMDB00112,4-Aminobutyrate,134.5,0.1,10
HMDB00122,Glucose,532.2,0.1,10
HMDB00131,Glycerol,63453.9,0.1,10
HMDB00134,Fumarate,3.8,0.1,10
HMDB00142,Formate,33.1,0.1,10
HMDB00143,Galactose,230.7,0.1,10
HMDB00149,Ethanolamine,81.9,0.1,10
HMDB00156,Malate,0.2,0.1,10
HMDB00158,Tyrosine,0.0,0.1,10
HMDB00159,Phenylalanine,0.0,0.1,10
HMDB00161,Alanine,760.2,0.1,10
HMDB00162,L-Proline,1048.5,0.1,10
HMDB00168,Asparagine,0.0,0.1,10
HMDB00190,Lactic acid,8139.3,0.1,10
HMDB00191,Aspartate,0.0,0.1,10
HMDB00208,Oxoglutarate,416.1,0.1,10
HMDB00211,myo-Inositol,1572.4,0.1,10
HMDB00214,Ornithine,0.0,0.1,10
HMDB00243,Pyruvate,28.9,0.1,10
HMDB00254,Succinate,5996.2,0.1,10
HMDB00258,Sucrose,0.0,0.1,10
HMDB00267,Pyroglutamate,0.3,0.1,10
HMDB00300,Uracil,40.7,0.1,10
HMDB00606,2-Hydroxyglutaric acid,0.0,0.1,10
HMDB00646,Arabinose,99.8,0.1,10
HMDB00660,Fructose,2477.7,0.1,10
HMDB00671,Indole-3-lactate,23.9,0.1,10
HMDB00687,Leucine,0.0,0.1,10
HMDB00696,Methionine,19.8,0.1,10
HMDB00820,Propanol,0.1,0.1,10
HMDB00875,Trigonelline,96.3,0.1,10
HMDB00954,Ferulate,0.0,0.1,10
HMDB00956,Tartarate,3562.5,0.1,10
HMDB00975,Trehalose,78.7,0.1,10
HMDB01659,Acetone,17.7,0.1,10
HMDB01871,Epicatechin,26.7,0.1,10
HMDB01875,Methanol,1654.6,0.1,10
HMDB02085,Syringate,17.7,0.1,10
HMDB02322,Cadaverine,69.7,0.1,10
HMDB02545,Galacturonate,475.2,0.1,10
HMDB02780,Catechin,0.0,0.1,10
HMDB03070,Shikimate,0.0,0.1,10
HMDB03156,2_3-Butanediol,6349.0,0.1,10
HMDB03243,Acetoin,238.4,0.1,10
HMDB04284,Tyrosol,144.2,0.1,10
HMDB05807,Gallate,100.3,0.1,10
HMDB06006,Isobutanol,502.8,0.1,10
HMDB06007,Isoamylalcohol,1619.7,0.1,10
HMDB13680,Caftarate,111.8,0.1,10
HMDB31217,Ethyl acetate,289.5,0.1,10
HMDB31527,2-Methylbutanol,377.8,0.1,10
HMDB33944,Phenylethanol,258.5,0.1,10
HMDB40735,Ethyl lactate,542.0,0.1,10
HMDB80990,Acetaldehyde (bisulfite),151.2,0.1,10
HMDB99996,1_3-Propanediol,0.0,0.1,10
HMDB99997,Phasing compound,94.5,0.1,10
HMDB99998,Phasing compound,744.9,0.1,10
HMDB99999,DSS,324.2,0.1,10
