# Date: 2025-03-06 23:22:12 UTC
# FID: 13
# Biofluid: Wine (700 only)
# NMR Frequency: 700 MHz
# DSS Concentration: 909.09 µM
# Fast Profile: No
# Manually Phased: No
# Run Time: 10 minutes 29 seconds
# Job ID: 9f74d353592e222ed6ffcb0a7d02cca310e2d47a-15233
HMDB ID,Compound Name,Concentration (µM),Threshold (µM),Confidence Score
HMDB00034,Adenine,10.6,0.1,10
HMDB00042,Acetate,5047.6,0.1,10
HMDB00043,Betaine,12.7,0.1,10
HMDB00056,beta-Alanine,0.0,0.1,10
HMDB00060,Acetoacetate,8.8,0.1,10
HMDB00062,Carnitine,58.6,0.1,10
HMDB00094,Citric acid,25.9,0.1,10
HMDB00097,Choline,172.2,0.1,10
HMDB00098,Xylose,82.6,0.1,10
HMDB00108,Ethanol,1140643.7,0.1,10
HMDB00112,4-Aminobutyrate,40.6,0.1,10
HMDB00122,Glucose,201.2,0.1,10
HMDB00131,Glycerol,42078.4,0.1,10
HMDB00134,Fumarate,4.8,0.1,10
HMDB00142,Formate,18.9,0.1,10
HMDB00143,Galactose,178.2,0.1,10
HMDB00149,Ethanolamine,105.2,0.1,10
HMDB00156,Malate,0.0,0.1,10
HMDB00158,Tyrosine,19.6,0.1,10
HMDB00159,Phenylalanine,46.6,0.1,10
HMDB00161,Alanine,0.0,0.1,10
HMDB00162,L-Proline,1196.4,0.1,10
HMDB00168,Asparagine,0.0,0.1,10
HMDB00190,Lactic acid,11713.9,0.1,10
HMDB00191,Aspartate,3.2,0.1,10
HMDB00208,Oxoglutarate,22.2,0.1,10
HMDB00211,myo-Inositol,224.7,0.1,10
HMDB00214,Ornithine,0.0,0.1,10
HMDB00243,Pyruvate,0.0,0.1,10
HMDB00254,Succinate,3436.0,0.1,10
HMDB00258,Sucrose,0.0,0.1,10
HMDB00267,Pyroglutamate,0.0,0.1,10
HMDB00300,Uracil,18.2,0.1,10
HMDB00606,2-Hydroxyglutaric acid,0.0,0.1,10
HMDB00646,Arabinose,0.0,0.1,10
HMDB00660,Fructose,3842.5,0.1,10
HMDB00671,Indole-3-lactate,3.5,0.1,10
HMDB00687,Leucine,0.0,0.1,10
HMDB00696,Methionine,22.2,0.1,10
HMDB00820,Propanol,44.6,0.1,10
HMDB00875,Trigonelline,80.2,0.1,10
HMDB00954,Ferulate,0.0,0.1,10
HMDB00956,Tartarate,11709.5,0.1,10
HMDB01659,Acetone,6.4,0.1,10
HMDB01871,Epicatechin,15.1,0.1,10
HMDB01875,Methanol,477.4,0.1,10
HMDB01964,Caffeate,16.4,0.1,10
HMDB02085,Syringate,0.0,0.1,10
HMDB02322,Cadaverine,21.3,0.1,10
HMDB02545,Galacturonate,832.7,0.1,10
HMDB02780,Catechin,0.5,0.1,10
HMDB03156,2_3-Butanediol,4623.7,0.1,10
HMDB03243,Acetoin,45.7,0.1,10
HMDB04284,Tyrosol,76.9,0.1,10
HMDB05807,Gallate,4.4,0.1,10
HMDB06006,Isobutanol,337.9,0.1,10
HMDB06007,Isoamylalcohol,253.7,0.1,10
HMDB13680,Caftarate,304.3,0.1,10
HMDB29581,Sorbate,2.0,0.1,10
HMDB31217,Ethyl acetate,316.4,0.1,10
HMDB31527,2-Methylbutanol,277.0,0.1,10
HMDB33944,Phenylethanol,102.5,0.1,10
HMDB40735,Ethyl lactate,1081.8,0.1,10
HMDB80990,Acetaldehyde (bisulfite),168.3,0.1,10
HMDB99996,1_3-Propanediol,0.0,0.1,10
HMDB99997,Phasing compound,109.1,0.1,10
HMDB99998,Phasing compound,690.6,0.1,10
HMDB99999,DSS,40.4,0.1,10
