# Date: 2025-03-06 23:21:07 UTC
# FID: 12
# Biofluid: Wine (700 only)
# NMR Frequency: 700 MHz
# DSS Concentration: 909.09 µM
# Fast Profile: No
# Manually Phased: No
# Run Time: 6 minutes 31 seconds
# Job ID: 7bf554059484edeff4c6110e05e717840bdc9a52-15232
HMDB ID,Compound Name,Concentration (µM),Threshold (µM),Confidence Score
HMDB00034,Adenine,28.5,0.1,10
HMDB00042,Acetate,3322.9,0.1,10
HMDB00043,Betaine,76.8,0.1,10
HMDB00056,beta-Alanine,0.0,0.1,10
HMDB00060,Acetoacetate,8.3,0.1,10
HMDB00062,Carnitine,51.4,0.1,10
HMDB00094,Citric acid,46.6,0.1,10
HMDB00097,Choline,164.9,0.1,10
HMDB00098,Xylose,199.5,0.1,10
HMDB00108,Ethanol,1126415.8,0.1,10
HMDB00112,4-Aminobutyrate,130.7,0.1,10
HMDB00122,Glucose,1327.1,0.1,10
HMDB00131,Glycerol,40248.1,0.1,10
HMDB00134,Fumarate,9.2,0.1,10
HMDB00142,Formate,31.4,0.1,10
HMDB00143,Galactose,142.9,0.1,10
HMDB00149,Ethanolamine,120.1,0.1,10
HMDB00156,Malate,7154.0,0.1,10
HMDB00158,Tyrosine,32.5,0.1,10
HMDB00159,Phenylalanine,48.3,0.1,10
HMDB00161,Alanine,0.0,0.1,10
HMDB00162,L-Proline,1791.9,0.1,10
HMDB00168,Asparagine,0.0,0.1,10
HMDB00190,Lactic acid,683.8,0.1,10
HMDB00191,Aspartate,0.0,0.1,10
HMDB00208,Oxoglutarate,20.6,0.1,10
HMDB00211,myo-Inositol,1758.5,0.1,10
HMDB00214,Ornithine,0.0,0.1,10
HMDB00243,Pyruvate,0.0,0.1,10
HMDB00254,Succinate,2330.1,0.1,10
HMDB00258,Sucrose,0.0,0.1,10
HMDB00267,Pyroglutamate,0.0,0.1,10
HMDB00296,Uridine,17.2,0.1,10
HMDB00300,Uracil,15.7,0.1,10
HMDB00606,2-Hydroxyglutaric acid,68.1,0.1,10
HMDB00646,Arabinose,498.3,0.1,10
HMDB00660,Fructose,1361.2,0.1,10
HMDB00671,Indole-3-lactate,0.5,0.1,10
HMDB00687,Leucine,0.0,0.1,10
HMDB00696,Methionine,22.2,0.1,10
HMDB00820,Propanol,242.9,0.1,10
HMDB00875,Trigonelline,68.5,0.1,10
HMDB00954,Ferulate,0.0,0.1,10
HMDB00956,Tartarate,6309.9,0.1,10
HMDB01871,Epicatechin,3.6,0.1,10
HMDB01875,Methanol,715.3,0.1,10
HMDB01964,Caffeate,9.7,0.1,10
HMDB02085,Syringate,0.0,0.1,10
HMDB02322,Cadaverine,39.9,0.1,10
HMDB02545,Galacturonate,1079.5,0.1,10
HMDB02780,Catechin,0.0,0.1,10
HMDB03156,2_3-Butanediol,3962.9,0.1,10
HMDB03243,Acetoin,11.4,0.1,10
HMDB04284,Tyrosol,68.8,0.1,10
HMDB05807,Gallate,3.2,0.1,10
HMDB06006,Isobutanol,37.4,0.1,10
HMDB06007,Isoamylalcohol,568.5,0.1,10
HMDB13680,Caftarate,75.2,0.1,10
HMDB29581,Sorbate,0.2,0.1,10
HMDB31217,Ethyl acetate,154.1,0.1,10
HMDB31527,2-Methylbutanol,153.2,0.1,10
HMDB33944,Phenylethanol,124.5,0.1,10
HMDB40735,Ethyl lactate,14.8,0.1,10
HMDB80990,Acetaldehyde (bisulfite),424.2,0.1,10
HMDB99996,1_3-Propanediol,0.0,0.1,10
HMDB99997,Phasing compound,76.6,0.1,10
HMDB99998,Phasing compound,710.0,0.1,10
HMDB99999,DSS,999.6,0.1,10
