# Date: 2025-03-06 00:11:55 UTC
# FID: 8
# Biofluid: Wine (700 only)
# NMR Frequency: 700 MHz
# DSS Concentration: 909.09 µM
# Fast Profile: No
# Manually Phased: No
# Run Time: 7 minutes 38 seconds
# Job ID: a91b426beee705f6142900adbc9078888fd2204f-15221
HMDB ID,Compound Name,Concentration (µM),Threshold (µM),Confidence Score
HMDB00034,Adenine,46.2,0.1,10
HMDB00042,Acetate,3765.3,0.1,10
HMDB00043,Betaine,75.1,0.1,10
HMDB00056,beta-Alanine,0.0,0.1,10
HMDB00060,Acetoacetate,9.9,0.1,10
HMDB00062,Carnitine,42.2,0.1,10
HMDB00094,Citric acid,9.3,0.1,10
HMDB00097,Choline,145.1,0.1,10
HMDB00098,Xylose,423.3,0.1,10
HMDB00108,Ethanol,803285.9,0.1,10
HMDB00112,4-Aminobutyrate,47.9,0.1,10
HMDB00122,Glucose,6299.8,0.1,10
HMDB00131,Glycerol,47140.9,0.1,10
HMDB00134,Fumarate,6.2,0.1,10
HMDB00142,Formate,21.6,0.1,10
HMDB00143,Galactose,243.6,0.1,10
HMDB00149,Ethanolamine,47.8,0.1,10
HMDB00156,Malate,8550.1,0.1,10
HMDB00158,Tyrosine,35.7,0.1,10
HMDB00159,Phenylalanine,86.5,0.1,10
HMDB00161,Alanine,0.0,0.1,10
HMDB00162,L-Proline,0.0,0.1,10
HMDB00168,Asparagine,0.0,0.1,10
HMDB00190,Lactic acid,236.0,0.1,10
HMDB00191,Aspartate,0.0,0.1,10
HMDB00208,Oxoglutarate,0.0,0.1,10
HMDB00211,myo-Inositol,1022.1,0.1,10
HMDB00214,Ornithine,0.0,0.1,10
HMDB00243,Pyruvate,0.0,0.1,10
HMDB00254,Succinate,2019.9,0.1,10
HMDB00258,Sucrose,0.0,0.1,10
HMDB00267,Pyroglutamate,0.0,0.1,10
HMDB00296,Uridine,23.8,0.1,10
HMDB00606,2-Hydroxyglutaric acid,0.0,0.1,10
HMDB00646,Arabinose,678.3,0.1,10
HMDB00660,Fructose,49189.7,0.1,10
HMDB00671,Indole-3-lactate,4.7,0.1,10
HMDB00687,Leucine,19.9,0.1,10
HMDB00696,Methionine,11.0,0.1,10
HMDB00820,Propanol,89.6,0.1,10
HMDB00875,Trigonelline,72.9,0.1,10
HMDB00954,Ferulate,0.0,0.1,10
HMDB00956,Tartarate,10222.6,0.1,10
HMDB00975,Trehalose,161.0,0.1,10
HMDB01659,Acetone,6.0,0.1,10
HMDB01871,Epicatechin,8.7,0.1,10
HMDB01875,Methanol,1202.6,0.1,10
HMDB01964,Caffeate,22.1,0.1,10
HMDB02085,Syringate,0.0,0.1,10
HMDB02322,Cadaverine,86.4,0.1,10
HMDB02545,Galacturonate,1948.7,0.1,10
HMDB02780,Catechin,0.0,0.1,10
HMDB03156,2_3-Butanediol,6713.8,0.1,10
HMDB03243,Acetoin,6.0,0.1,10
HMDB04284,Tyrosol,44.1,0.1,10
HMDB06006,Isobutanol,152.3,0.1,10
HMDB06007,Isoamylalcohol,322.0,0.1,10
HMDB13680,Caftarate,61.2,0.1,10
HMDB29581,Sorbate,5.3,0.1,10
HMDB31217,Ethyl acetate,229.9,0.1,10
HMDB31527,2-Methylbutanol,151.7,0.1,10
HMDB33944,Phenylethanol,69.7,0.1,10
HMDB40735,Ethyl lactate,4.2,0.1,10
HMDB80990,Acetaldehyde (bisulfite),437.6,0.1,10
HMDB99997,Phasing compound,42.8,0.1,10
HMDB99998,Phasing compound,747.5,0.1,10
HMDB99999,DSS,11.2,0.1,10
